name,time,price,location
POSVOJIMO MUCO,09.11.2020.,,"Ljubljana Vič Rudnik, Brdo"
Lepa muca,09.11.2020.,,"Rogaška Slatina, Rogaška Slatina"
Grosuplje,09.11.2020.,,"Grosuplje, Grosuplje"
Najdenček,09.11.2020.,,"Ljubljana Šiška, Brod"
Prelska 3320 Velenje,09.11.2020.,,"Velenje, Prelska"
Mucka Mey,09.11.2020.,,"Kočevje, Mahovnik"
Mucka Meli,09.11.2020.,,"Kočevje, Mahovnik"
Mucka Bea,09.11.2020.,,"Kočevje, Mahovnik"
Mucka Mici,09.11.2020.,,"Kočevje, Mahovnik"
Muc Micko,09.11.2020.,,"Kočevje, Mahovnik"
Mucka Žuža,09.11.2020.,,"Kočevje, Mahovnik"
Maine Coon Mladički,09.11.2020.,,"Medvode, Medvode"
Čudovita Taja &amp; Medi (pomagamo pri oddaji),09.11.2020.,,"Kranj, Kranj"
Simpatična Lubica &amp; Miki,09.11.2020.,,"Kranj, Kranj"
Muca,08.11.2020.,,"Dobova, Dobova"
MUC GARFIELD IŠČE NOV DOM,08.11.2020.,,"Žiri, Žiri"
ISCEM-KUPIM MAINE COONA,08.11.2020.,,"Črenšovci, Črenšovci"
Podarim dve črni muci in enega črnega mucka,08.11.2020.,,"Šenčur, Olševek"
Oddamo crno muco,08.11.2020.,,"Nova Gorica, Nova Gorica"
Grosuplje,08.11.2020.,,"Grosuplje, Grosuplje"
Podarimo mlado mucko,08.11.2020.,,"Dutovlje, Dutovlje"
Britanka,08.11.2020.,,"Maribor, Melje"
DOLGODLAKI BRITANEC-ČISTOKRVNI BREZ RODOVNIKA,08.11.2020.,,"Črnomelj, Črnomelj"
Prodam mucko ragdoll,08.11.2020.,,"Sežana, Sežana"
Cofek,08.11.2020.,,"Celje, Celje"
